t_affinia_1.txt, truthful, n, word_count=66, total_entity_count=1, total_unique_entity_count=1, LOCATION=0, PERSON=0, ORGANIZATION=0, MONEY=0, PERCENT=0, DATE=1, TIME=0, unique_LOCATION=0, unique_PERSON=0, unique_ORGANIZATION=0, unique_MONEY=0, unique_PERCENT=0, unique_DATE=1, unique_TIME=0, 
t_affinia_10.txt, truthful, n, word_count=175, total_entity_count=1, total_unique_entity_count=1, LOCATION=0, PERSON=3, ORGANIZATION=1, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=0, unique_PERSON=1, unique_ORGANIZATION=1, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
t_affinia_11.txt, truthful, n, word_count=115, total_entity_count=1, total_unique_entity_count=1, LOCATION=0, PERSON=0, ORGANIZATION=0, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=0, unique_PERSON=0, unique_ORGANIZATION=0, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
t_affinia_12.txt, truthful, n, word_count=183, total_entity_count=1, total_unique_entity_count=1, LOCATION=0, PERSON=0, ORGANIZATION=0, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=0, unique_PERSON=0, unique_ORGANIZATION=0, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
t_affinia_13.txt, truthful, n, word_count=133, total_entity_count=1, total_unique_entity_count=1, LOCATION=0, PERSON=0, ORGANIZATION=0, MONEY=0, PERCENT=0, DATE=1, TIME=1, unique_LOCATION=0, unique_PERSON=0, unique_ORGANIZATION=0, unique_MONEY=0, unique_PERCENT=0, unique_DATE=1, unique_TIME=1, 
t_affinia_14.txt, truthful, n, word_count=297, total_entity_count=1, total_unique_entity_count=1, LOCATION=0, PERSON=0, ORGANIZATION=1, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=0, unique_PERSON=0, unique_ORGANIZATION=1, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
t_affinia_15.txt, truthful, n, word_count=194, total_entity_count=1, total_unique_entity_count=1, LOCATION=1, PERSON=0, ORGANIZATION=2, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=1, unique_PERSON=0, unique_ORGANIZATION=2, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
t_affinia_16.txt, truthful, n, word_count=231, total_entity_count=1, total_unique_entity_count=1, LOCATION=0, PERSON=1, ORGANIZATION=0, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=0, unique_PERSON=1, unique_ORGANIZATION=0, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
t_affinia_17.txt, truthful, n, word_count=386, total_entity_count=1, total_unique_entity_count=1, LOCATION=2, PERSON=0, ORGANIZATION=6, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=1, unique_PERSON=0, unique_ORGANIZATION=4, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
t_affinia_18.txt, truthful, n, word_count=143, total_entity_count=1, total_unique_entity_count=1, LOCATION=0, PERSON=1, ORGANIZATION=0, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=0, unique_PERSON=1, unique_ORGANIZATION=0, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
t_affinia_19.txt, truthful, n, word_count=297, total_entity_count=1, total_unique_entity_count=1, LOCATION=0, PERSON=0, ORGANIZATION=1, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=0, unique_PERSON=0, unique_ORGANIZATION=1, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
t_affinia_2.txt, truthful, n, word_count=61, total_entity_count=1, total_unique_entity_count=1, LOCATION=0, PERSON=0, ORGANIZATION=0, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=0, unique_PERSON=0, unique_ORGANIZATION=0, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
t_affinia_20.txt, truthful, n, word_count=135, total_entity_count=1, total_unique_entity_count=1, LOCATION=0, PERSON=0, ORGANIZATION=0, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=0, unique_PERSON=0, unique_ORGANIZATION=0, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
