t_affinia_1.txt, truthful, p, word_count=116, total_entity_count=6, total_unique_entity_count=6, LOCATION=0, PERSON=1, ORGANIZATION=2, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=0, unique_PERSON=1, unique_ORGANIZATION=2, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
t_affinia_10.txt, truthful, p, word_count=213, total_entity_count=6, total_unique_entity_count=6, LOCATION=2, PERSON=0, ORGANIZATION=2, MONEY=0, PERCENT=0, DATE=0, TIME=2, unique_LOCATION=2, unique_PERSON=0, unique_ORGANIZATION=2, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=2, 
t_affinia_11.txt, truthful, p, word_count=109, total_entity_count=6, total_unique_entity_count=6, LOCATION=0, PERSON=2, ORGANIZATION=2, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=0, unique_PERSON=2, unique_ORGANIZATION=2, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
t_affinia_12.txt, truthful, p, word_count=132, total_entity_count=6, total_unique_entity_count=6, LOCATION=2, PERSON=0, ORGANIZATION=2, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=2, unique_PERSON=0, unique_ORGANIZATION=2, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
t_affinia_13.txt, truthful, p, word_count=53, total_entity_count=6, total_unique_entity_count=6, LOCATION=1, PERSON=0, ORGANIZATION=0, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=1, unique_PERSON=0, unique_ORGANIZATION=0, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
t_affinia_14.txt, truthful, p, word_count=133, total_entity_count=6, total_unique_entity_count=6, LOCATION=0, PERSON=0, ORGANIZATION=0, MONEY=0, PERCENT=0, DATE=0, TIME=2, unique_LOCATION=0, unique_PERSON=0, unique_ORGANIZATION=0, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=2, 
t_affinia_15.txt, truthful, p, word_count=161, total_entity_count=6, total_unique_entity_count=6, LOCATION=2, PERSON=0, ORGANIZATION=2, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=1, unique_PERSON=0, unique_ORGANIZATION=2, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
t_affinia_16.txt, truthful, p, word_count=86, total_entity_count=6, total_unique_entity_count=6, LOCATION=0, PERSON=0, ORGANIZATION=3, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=0, unique_PERSON=0, unique_ORGANIZATION=3, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
t_affinia_17.txt, truthful, p, word_count=57, total_entity_count=6, total_unique_entity_count=6, LOCATION=3, PERSON=0, ORGANIZATION=0, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=3, unique_PERSON=0, unique_ORGANIZATION=0, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
t_affinia_18.txt, truthful, p, word_count=82, total_entity_count=6, total_unique_entity_count=6, LOCATION=1, PERSON=0, ORGANIZATION=0, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=1, unique_PERSON=0, unique_ORGANIZATION=0, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
t_affinia_19.txt, truthful, p, word_count=72, total_entity_count=6, total_unique_entity_count=6, LOCATION=0, PERSON=0, ORGANIZATION=0, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=0, unique_PERSON=0, unique_ORGANIZATION=0, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
