d_affinia_1.txt, deceptive, p, word_count=64, total_entity_count=0, total_unique_entity_count=0, LOCATION=0, PERSON=0, ORGANIZATION=0, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=0, unique_PERSON=0, unique_ORGANIZATION=0, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
d_affinia_10.txt, deceptive, p, word_count=57, total_entity_count=0, total_unique_entity_count=0, LOCATION=0, PERSON=0, ORGANIZATION=0, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=0, unique_PERSON=0, unique_ORGANIZATION=0, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
d_affinia_11.txt, deceptive, p, word_count=132, total_entity_count=0, total_unique_entity_count=0, LOCATION=1, PERSON=0, ORGANIZATION=0, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=1, unique_PERSON=0, unique_ORGANIZATION=0, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
d_affinia_12.txt, deceptive, p, word_count=78, total_entity_count=0, total_unique_entity_count=0, LOCATION=1, PERSON=0, ORGANIZATION=0, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=1, unique_PERSON=0, unique_ORGANIZATION=0, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
d_affinia_13.txt, deceptive, p, word_count=56, total_entity_count=0, total_unique_entity_count=0, LOCATION=2, PERSON=0, ORGANIZATION=0, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=2, unique_PERSON=0, unique_ORGANIZATION=0, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
d_affinia_14.txt, deceptive, p, word_count=72, total_entity_count=0, total_unique_entity_count=0, LOCATION=3, PERSON=0, ORGANIZATION=1, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=2, unique_PERSON=0, unique_ORGANIZATION=1, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
d_affinia_15.txt, deceptive, p, word_count=79, total_entity_count=0, total_unique_entity_count=0, LOCATION=1, PERSON=0, ORGANIZATION=0, MONEY=0, PERCENT=0, DATE=2, TIME=0, unique_LOCATION=1, unique_PERSON=0, unique_ORGANIZATION=0, unique_MONEY=0, unique_PERCENT=0, unique_DATE=2, unique_TIME=0, 
d_affinia_16.txt, deceptive, p, word_count=71, total_entity_count=0, total_unique_entity_count=0, LOCATION=3, PERSON=0, ORGANIZATION=0, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=2, unique_PERSON=0, unique_ORGANIZATION=0, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
d_affinia_17.txt, deceptive, p, word_count=57, total_entity_count=0, total_unique_entity_count=0, LOCATION=0, PERSON=0, ORGANIZATION=0, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=0, unique_PERSON=0, unique_ORGANIZATION=0, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
d_affinia_18.txt, deceptive, p, word_count=212, total_entity_count=0, total_unique_entity_count=0, LOCATION=1, PERSON=0, ORGANIZATION=0, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=1, unique_PERSON=0, unique_ORGANIZATION=0, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
d_affinia_19.txt, deceptive, p, word_count=234, total_entity_count=0, total_unique_entity_count=0, LOCATION=3, PERSON=0, ORGANIZATION=0, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=3, unique_PERSON=0, unique_ORGANIZATION=0, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
d_affinia_2.txt, deceptive, p, word_count=77, total_entity_count=0, total_unique_entity_count=0, LOCATION=3, PERSON=0, ORGANIZATION=0, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=2, unique_PERSON=0, unique_ORGANIZATION=0, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
d_affinia_20.txt, deceptive, p, word_count=88, total_entity_count=0, total_unique_entity_count=0, LOCATION=1, PERSON=0, ORGANIZATION=0, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=1, unique_PERSON=0, unique_ORGANIZATION=0, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
d_affinia_3.txt, deceptive, p, word_count=79, total_entity_count=0, total_unique_entity_count=0, LOCATION=0, PERSON=0, ORGANIZATION=0, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=0, unique_PERSON=0, unique_ORGANIZATION=0, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
d_affinia_4.txt, deceptive, p, word_count=214, total_entity_count=0, total_unique_entity_count=0, LOCATION=0, PERSON=1, ORGANIZATION=4, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=0, unique_PERSON=1, unique_ORGANIZATION=4, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
d_affinia_5.txt, deceptive, p, word_count=133, total_entity_count=0, total_unique_entity_count=0, LOCATION=2, PERSON=0, ORGANIZATION=0, MONEY=0, PERCENT=0, DATE=0, TIME=0, unique_LOCATION=2, unique_PERSON=0, unique_ORGANIZATION=0, unique_MONEY=0, unique_PERCENT=0, unique_DATE=0, unique_TIME=0, 
